,,,,,,,,,,,
Number,Description,Department,Lvl,Primary,Alternate,Total,Enrollment Max,Section Count,,,
MPHED10B--,PHYSICAL AND HEALTH EDUCATION 10 Boys,Physical Education,Regular,107,0,107,29,4,,,
,,,,,,,,,,,
MPHED10G--,PHYSICAL AND HEALTH EDUCATION 10 Girls,Physical Education,Regular,65,1,66,29,2,,,
,,,,,,,,,,,
MPREC11---,PRE-CALCULUS 11,Mathematics,Regular,133,2,135,29,5,,,
,,,,,,,,,,,
MPREC11H--,PRE-CALCULUS 11 HONOURS,Mathematics,Regular,53,0,53,29,2,,,
,,,,,,,,,,,
MPREC1,PRE-CALCULUS 12,Mathematics,Regular,119,4,123,29,4,,,
,,,,,,,,,,,
MPREC12H--,PRE-CALCULUS 12 HONOURS,Mathematics,Regular,49,0,49,29,2,,,
,,,,,,,,,,,
MSC--09---,SCIENCE 9,Science,Regular,127,0,127,23,6,,,
,,,,,,,,,,,
MSC--09C--,SCIENCE 9: CHALLENGE,Science,Regular,42,0,42,23,2,,,
,,,,,,,,,,,
MSC--10---,SCIENCE 10,Science,Regular,204,1,205,23,9,,,
,,,,,,,,,,,
MSC--10C--,SCIENCE 10: CHALLENGE,Science,Regular,45,0,45,23,2,,,
,,,,,,,,,,,
MSJ--12---,SOCIAL JUSTICE 12,Social Studies,Regular,28,10,38,24,1,,,
,,,,,,,,,,,
MSP--09---,SPANISH 9,Modern Languages,Regular,50,18,68,29,2,,,
,,,,,,,,,,,
MSP--10---,SPANISH 10,Modern Languages,Regular,54,7,61,29,2,,,
,,,,,,,,,,,
MSP--11---,SPANISH 11,Modern Languages,Regular,25,2,27,29,1,,,
,,,,,,,,,,,
MSP--12---,SPANISH 12,Modern Languages,Regular,18,0,18,29,1,,,
,,,,,,,,,,,
MSPLG10--L,SPOKEN LANGUAGE 10 LINEAR,English,Regular,32,0,32,24,1,,,
,,,,,,,,,,,
MSPLG11---,SPOKEN LANGUAGE 11,English,Regular,17,0,17,24,1,,,
,,,,,,,,,,,
MSS--09---,SOCIAL STUDIES 9,Social Studies,Regular,129,0,129,24,5,,,
,,,,,,,,,,,
MSS--09C--,SOCIAL STUDIES 9 CHALLENGE,Social Studies,Regular,42,0,42,24,2,,,
,,,,,,,,,,,
MSS--10---,SOCIAL STUDIES 10,Social Studies,Regular,208,0,208,24,9,,,
,,,,,,,,,,,
MSS--10C--,SOCIAL STUDIES 10 CHALLENGE,Social Studies,Regular,45,0,45,24,2,,,
,,,,,,,,,,,
